problem,department,latitude,longitude
Pothole on Main Street,Roads & Infrastructure,40.7128,-74.0060
Street Light Out,Electricity & Lighting,40.7589,-73.9851
Water Leak,Water & Sewer Services,40.7505,-73.9934
Trash Overflow,Waste Management,40.7282,-73.7949
Tree Damage,Parks & Recreation,40.6892,-74.0445
Broken Sidewalk,Roads & Infrastructure,40.7831,-73.9712
Power Line Down,Electricity & Lighting,40.7484,-73.9857
Flooding,Storm Water Management,40.7614,-73.9776
Graffiti,Public Safety,40.7549,-73.9840
Park Equipment Broken,Parks & Recreation,40.7829,-73.9654
Sewer Backup,Water & Sewer Services,40.7282,-74.0776
Road Surface Damage,Roads & Infrastructure,40.7505,-73.9851
Storm Drain Clog,Storm Water Management,40.7128,-74.0060
Building Damage,Building & Housing,40.7589,-73.9934
Traffic Signal Issue,Transportation,40.6892,-74.0445
Environmental Hazard,Environmental Services,40.7831,-73.9712
Water Main Break,Water & Sewer Services,40.7484,-73.9857
Illegal Dumping,Waste Management,40.7614,-73.9776
Playground Safety,Parks & Recreation,40.7549,-73.9840
Cracked Pavement,Roads & Infrastructure,40.7829,-73.9654
